team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
24,2034,100,1,1,3934,1022,4298,1632,997,976,539,274,487,450,965,1003,15865,0,162,162,60,51,0,649,197,33,21,15,136,1,1,6,35,35,0,74,82,0,0,0,9,5,62,19,0,11.5010,0.2534,0.3063,0.4148,0.7211,8.7798,8.5949,1.1977,2.4129,0.0556,0.0000,0.5062,0.5405,3.3272,0.0000,0.0000,0.0000,3.9628,97.9321,0.0000,1.2436,0.4903,3.5620,0.3028
25,2034,100,1,1,3391,885,3813,1463,892,719,483,332,490,460,868,940,14240,1,162,162,48,56,0,590,162,37,29,11,129,2,1,15,45,23,0,89,64,0,0,0,0,0,56,20,0,12.6766,0.2630,0.3303,0.4314,0.7618,9.0678,7.3091,1.3114,3.3750,0.0000,0.0000,0.3951,0.4615,2.9815,0.0000,0.0000,0.0000,4.6762,87.9012,0.0000,1.3825,0.4801,2.1657,0.2967
26,2034,100,1,1,3566,939,3970,1551,889,881,488,301,476,447,962,861,14862,1,162,162,49,58,0,549,167,50,16,24,149,5,0,2,30,37,0,70,81,0,0,0,3,1,69,24,0,11.7562,0.2493,0.3130,0.4349,0.7480,8.5177,8.4411,1.4276,2.8840,0.0185,0.0000,0.5000,0.4579,3.0123,0.0000,0.0000,0.0000,4.2828,91.7407,0.0000,1.2669,0.5277,2.9269,0.2900
27,2034,100,1,1,3647,943,4045,1639,974,733,456,289,494,464,943,1017,14715,0,162,162,47,66,0,603,214,43,22,20,137,2,1,23,34,43,0,97,82,0,0,0,4,1,73,22,0,12.4645,0.2671,0.3264,0.4494,0.7758,9.2959,6.9958,1.3075,2.7582,0.0247,0.0000,0.5062,0.4159,2.8148,0.0000,0.0000,0.0000,4.4284,90.8333,0.0000,1.3393,0.4811,2.5363,0.2990
28,2034,100,1,1,3243,836,3668,1457,863,675,540,336,485,458,848,884,13642,1,162,162,52,46,0,544,173,42,26,17,129,6,0,14,36,21,0,61,50,0,0,0,1,0,78,29,0,13.1287,0.2661,0.3365,0.4493,0.7857,9.2870,7.2639,1.3882,3.6158,0.0062,0.0000,0.3086,0.5306,3.3333,0.0000,0.0000,0.0000,4.9287,84.2099,0.0000,1.4336,0.4896,2.0089,0.2978
29,2034,100,1,1,3613,948,4058,1573,926,893,518,321,510,457,932,901,14953,0,162,162,51,55,0,580,186,59,24,19,141,5,0,4,43,41,0,72,81,0,0,0,4,0,63,28,0,12.2278,0.2563,0.3221,0.4354,0.7575,8.7911,8.4778,1.3386,3.0475,0.0247,0.0000,0.5000,0.4811,3.1975,0.0000,0.0000,0.0000,4.3386,92.3025,0.0000,1.3154,0.5085,2.7819,0.3016
30,2034,100,1,1,3463,902,3897,1514,914,688,473,328,519,493,1013,894,14303,2,162,162,47,65,0,574,201,51,34,18,121,4,2,11,36,19,0,71,60,0,0,0,3,2,73,33,0,12.5727,0.2639,0.3280,0.4372,0.7652,9.1130,6.8597,1.2064,3.2703,0.0185,0.0000,0.3704,0.4196,2.9198,0.0000,0.0000,0.0000,4.9154,88.2901,0.0000,1.3759,0.5312,2.0976,0.2950
31,2034,101,2,1,3171,824,3543,1135,785,353,384,334,380,332,1209,788,12959,1,144,144,52,53,0,567,132,2,20,40,46,3,1,23,43,15,0,79,66,0,0,0,3,1,21,8,0,12.3809,0.2476,0.3203,0.3579,0.6783,8.5706,3.8540,0.5022,3.6466,0.0208,0.0000,0.4583,0.4952,2.6667,0.0000,0.0000,0.0000,3.6247,89.9931,0.0000,1.3575,0.6054,1.0569,0.2647
32,2034,101,2,1,3291,864,3674,1162,798,285,424,337,362,335,1333,862,13297,1,144,144,48,50,0,563,153,6,33,35,47,1,0,0,27,7,0,60,74,0,0,0,4,1,34,9,0,11.8912,0.2425,0.3113,0.3531,0.6644,8.3093,2.9676,0.4894,3.5091,0.0278,0.0000,0.5139,0.4898,2.9444,0.0000,0.0000,0.0000,3.4882,92.3403,0.0000,1.3132,0.6073,0.8457,0.2510
33,2034,101,2,1,3066,785,3546,1130,806,279,483,439,425,379,1168,788,13054,1,144,144,49,42,0,585,152,1,28,35,34,2,1,0,47,11,0,71,54,0,0,0,1,0,37,8,0,14.3939,0.2629,0.3544,0.3686,0.7230,9.2368,3.1974,0.3896,5.0310,0.0069,0.0000,0.3750,0.5385,3.3542,0.0000,0.0000,0.0000,4.3434,90.6528,0.0000,1.5853,0.5971,0.6355,0.2776
34,2034,101,2,1,3384,874,3719,1216,860,300,503,296,369,330,1327,868,13271,1,144,144,54,40,0,627,151,0,34,41,41,3,0,4,29,5,0,72,84,0,0,0,1,0,30,9,0,11.9508,0.2541,0.3122,0.3593,0.6715,8.8525,3.0881,0.4220,3.0469,0.0069,0.0000,0.5833,0.5745,3.4931,0.0000,0.0000,0.0000,3.3969,92.1597,0.0000,1.3222,0.6046,1.0135,0.2662
35,2034,101,2,1,3333,827,3676,1323,944,334,430,299,458,411,1187,847,13183,0,144,144,43,57,0,700,157,1,30,39,48,0,1,4,36,12,0,72,66,0,0,0,1,0,23,10,0,13.6578,0.2832,0.3416,0.3969,0.7385,10.2733,3.6348,0.5224,3.2539,0.0069,0.0000,0.4583,0.4300,2.9861,0.0000,0.0000,0.0000,4.4728,91.5486,0.0000,1.5030,0.5836,1.1171,0.3006
36,2034,101,2,1,3189,799,3548,1241,853,294,429,325,443,382,1210,782,12986,0,144,144,51,47,0,599,166,1,22,42,46,2,0,3,36,11,0,72,63,0,0,0,2,1,38,7,0,13.3930,0.2675,0.3352,0.3892,0.7244,9.6083,3.3116,0.5181,3.6608,0.0139,0.0000,0.4375,0.5204,2.9792,0.0000,0.0000,0.0000,4.3029,90.1806,0.0000,1.4743,0.6074,0.9046,0.2811
37,2034,101,2,1,2993,736,3339,1177,874,262,427,308,430,385,1168,662,12113,2,144,144,45,48,0,671,137,1,29,32,34,3,0,1,33,8,0,72,50,0,0,0,2,1,19,8,0,14.5385,0.2920,0.3565,0.3933,0.7498,10.6778,3.2009,0.4154,3.7629,0.0139,0.0000,0.3472,0.4839,2.9653,0.0000,0.0000,0.0000,4.7036,84.1181,0.0000,1.6045,0.6383,0.8506,0.3081
38,2034,101,2,1,3178,807,3534,1202,847,284,409,316,378,344,1234,782,12705,1,144,144,49,43,0,600,169,3,25,48,30,3,1,8,36,11,0,80,66,0,0,0,2,0,21,8,0,13.0875,0.2665,0.3326,0.3782,0.7108,9.4422,3.1660,0.3344,3.5227,0.0139,0.0000,0.4583,0.5326,2.8403,0.0000,0.0000,0.0000,3.8348,88.2292,0.0000,1.4405,0.6121,0.8987,0.2828
39,2034,101,2,1,3143,770,3537,1271,903,354,375,342,474,418,1088,772,13028,1,144,144,39,60,0,672,145,4,37,35,51,0,0,0,34,11,0,48,56,0,0,0,0,0,26,9,0,14.6742,0.2873,0.3555,0.4044,0.7599,10.5500,4.1359,0.5958,3.9957,0.0000,0.0000,0.3889,0.3939,2.6042,0.0000,0.0000,0.0000,4.8836,90.4722,0.0000,1.6162,0.5849,1.0351,0.3070
40,2034,101,2,1,2960,731,3306,1227,847,269,361,302,429,381,1029,783,11920,1,144,144,33,56,0,623,125,2,32,42,57,0,2,0,32,8,0,69,43,0,0,0,0,0,20,9,0,14.2384,0.2861,0.3504,0.4145,0.7649,10.4234,3.3104,0.7015,3.7165,0.0000,0.0000,0.2986,0.3708,2.5069,0.0000,0.0000,0.0000,4.6887,82.7778,0.0000,1.5711,0.5679,0.8907,0.2963
41,2034,101,2,1,3276,830,3624,1301,899,338,479,317,434,405,1261,751,13233,0,144,144,47,41,0,634,177,3,18,39,49,0,0,5,32,10,0,81,62,0,0,0,0,0,33,11,0,13.2940,0.2744,0.3386,0.3971,0.7357,9.7482,3.6651,0.5313,3.4373,0.0000,0.0000,0.4306,0.5341,3.3264,0.0000,0.0000,0.0000,4.3916,91.8958,0.0000,1.4651,0.6267,1.0662,0.2924
42,2034,101,2,1,3194,826,3599,1135,811,344,463,363,398,373,1258,768,13140,1,144,144,49,46,0,588,157,0,26,31,35,4,1,3,38,15,0,56,68,0,0,0,2,1,29,10,0,12.9500,0.2539,0.3305,0.3554,0.6858,8.8330,3.7467,0.3812,3.9536,0.0139,0.0000,0.4722,0.5158,3.2153,0.0000,0.0000,0.0000,4.0625,91.2500,0.0000,1.4207,0.6209,0.9477,0.2731
43,2034,101,2,1,3402,845,3792,1402,985,338,468,344,461,422,1249,811,13705,0,144,144,45,55,0,718,175,1,35,34,58,2,0,0,36,10,0,91,62,0,0,0,2,1,16,6,0,14.2615,0.2895,0.3532,0.4121,0.7653,10.4911,3.6000,0.6178,3.6639,0.0139,0.0000,0.4306,0.4500,3.2500,0.0000,0.0000,0.0000,4.4947,95.1736,0.0000,1.5728,0.6063,0.9826,0.3048
44,2034,101,2,1,3011,754,3431,1165,835,331,362,374,411,368,1050,779,12751,0,144,144,35,59,0,610,156,0,32,33,36,0,1,4,39,13,0,57,50,0,0,0,2,1,32,8,0,14.5862,0.2773,0.3563,0.3869,0.7432,9.9668,3.9509,0.4297,4.4642,0.0139,0.0000,0.3472,0.3723,2.5139,0.0000,0.0000,0.0000,4.3926,88.5486,0.0000,1.6034,0.5741,0.8850,0.2986
