team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
149,2034,104,5,0,0,70,700,2846,951,1853,42,63,0,9,26,3,0,5559,0,0.9852,4.5397,0.1154,0.0000
150,2034,104,5,0,0,70,700,2822,870,1854,98,44,0,8,35,7,0,5562,0,0.9653,4.4078,0.2000,0.0000
151,2034,105,6,0,0,62,620,2515,772,1675,68,42,0,4,35,12,0,5025,0,0.9730,4.3827,0.3429,0.0000
152,2034,105,6,0,0,62,620,2589,819,1698,72,50,0,6,24,5,0,5094,0,0.9722,4.4470,0.2083,0.0000
153,2034,105,6,0,0,65,650,2706,895,1725,86,39,0,6,23,5,0,5175,0,0.9682,4.5565,0.2174,0.0000
154,2034,105,6,0,0,65,650,2685,886,1758,41,53,0,3,41,6,0,5274,0,0.9847,4.5119,0.1463,0.0000
155,2034,105,6,0,0,65,650,2645,889,1712,44,63,0,3,38,9,0,5139,0,0.9834,4.5552,0.2368,0.0000
156,2034,105,6,0,0,62,620,2571,845,1678,48,37,0,8,26,10,0,5034,0,0.9813,4.5107,0.3846,0.0000
157,2034,105,6,0,0,65,650,2640,824,1738,78,35,0,13,21,5,0,5214,0,0.9705,4.4223,0.2381,0.0000
158,2034,105,6,0,0,65,650,2693,918,1714,61,52,0,2,28,7,0,5142,0,0.9773,4.6068,0.2500,0.0000
159,2034,105,6,0,0,61,610,2489,778,1648,63,49,0,11,44,13,0,4944,0,0.9747,4.4163,0.2955,0.0000
160,2034,105,6,0,0,62,620,2575,850,1664,61,39,0,9,28,13,0,4992,0,0.9763,4.5325,0.4643,0.0000
161,2034,105,6,0,0,65,650,2704,891,1739,74,60,0,4,27,9,0,5217,0,0.9726,4.5371,0.3333,0.0000
162,2034,105,6,0,0,62,620,2573,845,1675,53,61,0,5,33,7,0,5025,0,0.9794,4.5134,0.2121,0.0000
163,2034,105,6,0,0,65,650,2687,868,1775,44,47,0,4,27,6,0,5328,0,0.9836,4.4645,0.2222,0.0000
164,2034,105,6,0,0,66,660,2729,894,1777,58,42,0,4,31,11,0,5331,0,0.9787,4.5093,0.3548,0.0000
165,2034,105,6,0,0,62,620,2622,877,1677,68,47,0,1,27,8,0,5031,0,0.9741,4.5689,0.2963,0.0000
166,2034,105,6,0,0,65,650,2728,869,1773,86,48,0,2,35,10,0,5319,0,0.9685,4.4704,0.2857,0.0000
167,2034,105,6,0,0,62,620,2575,845,1662,68,52,0,8,19,5,0,4986,0,0.9736,4.5253,0.2632,0.0000
168,2034,105,6,0,0,66,660,2755,891,1777,87,43,0,4,31,6,0,5331,0,0.9684,4.5042,0.1935,0.0000
169,2034,105,6,0,0,62,620,2603,859,1691,53,58,0,4,23,7,0,5073,0,0.9796,4.5240,0.3043,0.0000
170,2034,105,6,0,0,65,650,2704,877,1766,61,46,0,5,22,7,0,5301,0,0.9774,4.4873,0.3182,0.0000
171,2034,105,6,0,0,62,620,2582,822,1659,101,54,0,3,28,9,0,4977,0,0.9609,4.4864,0.3214,0.0000
172,2034,105,6,0,0,66,660,2757,909,1776,72,63,0,5,21,7,0,5328,0,0.9739,4.5355,0.3333,0.0000
173,2034,105,6,0,0,62,620,2571,827,1693,51,39,1,4,21,5,0,5079,0,0.9802,4.4654,0.2381,0.0000
174,2034,105,6,0,0,65,650,2674,861,1748,65,48,0,4,22,4,0,5244,0,0.9757,4.4777,0.1818,0.0000
175,2034,105,6,0,0,61,610,2572,792,1626,154,31,0,9,25,4,0,4878,0,0.9401,4.4613,0.1600,0.0000
176,2034,105,6,0,0,65,650,2718,880,1764,74,52,0,1,20,5,0,5292,0,0.9728,4.4966,0.2500,0.0000
177,2034,105,6,0,0,61,610,2520,775,1643,102,39,0,5,35,9,0,4929,0,0.9595,4.4151,0.2571,0.0000
178,2034,105,6,0,0,65,650,2671,853,1739,79,59,0,4,18,5,0,5217,0,0.9704,4.4715,0.2778,0.0000
179,2034,105,6,0,0,62,620,2538,827,1656,55,46,0,6,16,7,0,4968,0,0.9783,4.4982,0.4375,0.0000
180,2034,105,6,0,0,65,650,2653,869,1736,48,57,0,6,24,5,0,5208,0,0.9819,4.5017,0.2083,0.0000
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
