team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
195,2034,106,11,1,649,153,758,241,173,54,0,92,129,79,227,163,2644,1,100,0,2,7,7,130,29,4,9,3,11,0,0,6,11,4,39,9,0,13,6,100,0,0,9,1,6,15.7891,0.2666,0.3568,0.3713,0.7281,10.1543,3.1696,0.6457,5.4000,0.0000,0.0000,0.0000,0.2222,0.0000,0.5385,0.4615,0.3900,4.6370,26.4400,0.0000,1.7283,0.5821,0.5870,0.2732
196,2034,106,11,1,578,134,677,243,176,53,0,90,130,105,197,133,2304,2,102,0,7,9,8,134,28,2,6,3,11,0,0,5,7,1,39,13,0,11,2,102,0,0,4,0,12,17.8441,0.3045,0.3956,0.4204,0.8160,11.7624,3.5421,0.7351,6.0149,0.0000,0.0000,0.0000,0.4375,0.0000,0.8000,0.1818,0.3824,7.0173,22.5882,0.0000,1.9752,0.5970,0.5889,0.3173
197,2034,106,11,1,529,135,608,177,138,54,0,64,61,48,210,125,2033,1,93,0,7,5,13,110,20,7,7,5,3,0,0,3,8,1,36,12,0,18,4,93,0,0,0,1,13,13.5000,0.2609,0.3378,0.3346,0.6724,9.1773,3.5911,0.1995,4.2562,0.0000,0.0000,0.0000,0.5833,0.0000,0.7647,0.2222,0.3871,3.1921,21.8602,0.0000,1.4926,0.6269,0.8438,0.2818
198,2034,106,11,1,611,145,704,243,176,64,0,83,97,66,179,167,2438,1,90,0,6,9,8,134,26,2,6,7,9,0,0,4,10,2,39,8,0,13,4,90,0,0,3,2,5,16.1628,0.2881,0.3718,0.3977,0.7695,10.8991,3.9633,0.5573,5.1399,0.0000,0.0000,0.0000,0.4000,0.0000,0.6667,0.3077,0.4333,4.0872,27.0889,0.0000,1.7821,0.5173,0.7711,0.3070
199,2034,106,11,1,636,159,731,231,171,51,0,81,85,69,233,177,2484,0,107,0,12,6,16,133,23,7,6,8,7,0,1,7,6,0,40,11,0,24,8,107,0,0,7,1,18,14.2642,0.2689,0.3485,0.3632,0.7118,9.6792,2.8868,0.3962,4.5849,0.0000,0.0000,0.0000,0.6667,0.0000,0.6667,0.3333,0.3738,3.9057,23.2150,0.0000,1.5849,0.5683,0.6296,0.2808
200,2034,106,11,1,640,166,705,201,145,122,0,55,58,43,225,135,2380,1,95,0,14,3,15,109,24,3,4,4,8,0,0,4,5,3,40,9,0,21,2,95,0,0,5,3,10,10.9840,0.2266,0.2892,0.3141,0.6032,7.8457,6.6012,0.4329,2.9760,0.0000,0.0000,0.0000,0.8235,0.0000,0.8824,0.0952,0.4211,2.3267,25.0526,0.0000,1.2024,0.6250,2.2182,0.2665
201,2034,106,11,1,648,161,778,236,170,75,0,115,110,78,240,151,2721,0,132,0,10,8,12,131,22,6,8,7,10,0,0,23,8,1,39,9,0,15,3,132,0,0,15,2,21,15.9876,0.2623,0.3705,0.3642,0.7347,9.5031,4.1925,0.5590,6.4286,0.0000,0.0000,0.0000,0.5556,0.0000,0.8000,0.2000,0.2955,4.3602,20.6136,0.0000,1.7702,0.6138,0.6522,0.2802
202,2034,106,11,1,598,143,682,256,181,47,0,73,92,81,220,138,2338,0,109,0,11,6,8,135,27,0,6,9,10,0,1,6,8,4,37,16,0,17,8,109,0,0,3,2,8,16.2378,0.3027,0.3789,0.4281,0.8069,11.3916,2.9580,0.6294,4.5944,0.0000,0.0000,0.0000,0.6471,0.0000,0.5000,0.4706,0.3394,5.0979,21.4495,0.0000,1.7762,0.6145,0.6438,0.3126
203,2034,106,11,1,525,135,613,188,132,59,0,76,71,66,196,138,2072,2,100,0,7,7,12,91,29,3,7,9,3,0,0,12,6,2,38,8,0,17,5,100,0,0,3,0,19,13.9312,0.2514,0.3443,0.3581,0.7024,8.7568,3.9140,0.1990,5.0418,0.0000,0.0000,0.0000,0.5000,0.0000,0.7059,0.2941,0.3800,4.3784,20.7200,0.0000,1.5332,0.5868,0.7763,0.2745
204,2034,106,11,1,519,115,613,238,174,52,0,83,118,97,170,109,2116,2,93,0,9,4,5,130,31,3,6,6,7,1,0,16,5,2,35,9,0,8,3,93,0,0,3,3,7,20.1527,0.3353,0.4246,0.4586,0.8832,13.5389,4.0461,0.5447,6.4582,0.0000,0.0000,0.0000,0.6923,0.0000,0.6250,0.3750,0.3763,7.5476,22.7527,0.0000,2.2219,0.6093,0.6265,0.3584
